student,signal,quant,gpu_name,p50_ms_per_token,p99_ms_per_token,peak_memory_gb,throughput_toks_per_sec,avg_power_w,toks_per_sec_per_watt,joules_per_token,num_measured_prompts,token_f1,rouge_l,bertscore_f1,ground_truth_perplexity,num_capability_samples
qwen0_5b,logit,fp16,NVIDIA T4,25.411291630007327,25.9380582259554,1.002383872,39.358436710920756,38.884296931407945,1.0121936055665144,0.9879532872965645,30,0.36637084236781087,0.30176847971926324,0.8797645568847656,5.266511851327694,50
qwen0_5b,logit,int8,NVIDIA T4,112.49986053975059,114.48872590685885,0.924050432,8.890597004404215,30.25151362112322,0.29388932784494876,3.4026414206084534,30,0.35732343812162304,0.29525931519275345,0.8794142007827759,5.273725937676676,50
qwen0_5b,logit,nf4,NVIDIA T4,38.1451823248224,40.68389853307357,0.76966144,26.250092748060013,32.74063225412339,0.8017588831001896,1.2472577742241713,30,0.33016734943433335,0.2654663832032872,0.8765192627906799,5.443708990006913,50
qwen0_5b,sequence,fp16,NVIDIA T4,24.931241742998473,27.087719374844298,1.002638848,40.09855804811075,39.90194474153298,1.004927411629968,0.9950967487074753,30,0.2947969453267881,0.23579006838242056,0.8690596222877502,8.171035974724168,50
qwen0_5b,sequence,int8,NVIDIA T4,111.92856032270171,121.02887408109383,0.924754432,8.938835523511074,30.285502738654145,0.2951522912017641,3.3880814406973605,30,0.305837460495613,0.24716866881682184,0.8691744804382324,8.242469681595038,50
qwen0_5b,sequence,nf4,NVIDIA T4,37.71851488154671,40.20053189154714,0.76966144,26.55086067678772,32.83904808242701,0.8085149304615727,1.2368355392387256,30,0.28649448745900646,0.2379116678816492,0.864616870880127,8.059835246398793,50
qwen1_5b,logit,fp16,NVIDIA T4,29.95945333289759,32.32550365384668,3.105762304,33.41347727361285,67.75140418118467,0.4931776348761219,2.02766696882186,30,0.3318355245112787,0.2807935363727645,0.8763259649276733,4.095760410835873,50
qwen1_5b,logit,int8,NVIDIA T4,131.86617980368044,143.46008399553185,2.278026752,7.595320238836334,32.656161152199296,0.23258460182864488,4.299510767857036,30,0.33856104459152303,0.28896836902283424,0.8797552585601807,4.12068052060112,50
qwen1_5b,logit,nf4,NVIDIA T4,45.45967118859775,47.97118211436707,1.719537664,22.001811284474357,44.00836363636364,0.49994613447282316,2.0002154853231686,30,0.3376344079873605,0.2918153143982683,0.8789587616920471,4.107054329767214,50
qwen1_5b,sequence,fp16,NVIDIA T4,29.745034290179834,32.39230543798344,3.106402816,33.629680641780304,68.54474110032363,0.4906237896873685,2.038221588556096,30,0.329554993438419,0.27879062939396304,0.8722043037414551,8.771978217891979,50
qwen1_5b,sequence,int8,NVIDIA T4,132.04815427448727,142.76520421770826,2.2804736,7.585346562979472,32.60532000677622,0.23264137758510095,4.298461479124438,30,0.34447470289949195,0.2935521362413291,0.8729226589202881,8.705632870106268,50
qwen1_5b,sequence,nf4,NVIDIA T4,44.84505181352614,47.195029976269744,1.719537664,22.302340393857992,44.724083548220726,0.49866511786232576,2.0053538219933915,30,0.33110000510943816,0.28077244296485504,0.8735251426696777,8.150785861191205,50
qwen3b,logit,fp16,NVIDIA T4,37.82074564151117,41.824739436205064,6.19354368,26.454364017731503,68.02687085906794,0.38888109483291267,2.5714801086683368,30,0.3463905683680864,0.2908920259606709,0.873933732509613,3.8332578583188455,50
qwen3b,logit,int8,NVIDIA T4,167.5164790846923,181.8041103007272,3.453675008,5.973516964819592,34.113751797637384,0.17510583415903555,5.710831993706017,30,0.3285327657887224,0.27213490309745586,0.869688093662262,3.8706940726178325,50
qwen3b,logit,nf4,NVIDIA T4,57.94134289793999,60.96210887690109,2.246301184,17.25840488322013,52.4453638320775,0.32907398523307146,3.0388303083020536,30,0.3172680733625055,0.25653161253306556,0.8669728636741638,4.449451195499624,50
qwen3b,sequence,fp16,NVIDIA T4,37.741995506778416,41.68047132203356,6.19354368,26.499441479935854,67.9222866316404,0.3901435418929426,2.563159177640329,30,0.3034306485718958,0.24824385048552247,0.8653932213783264,6.001553981538273,50
qwen3b,sequence,int8,NVIDIA T4,169.46673627387133,184.85719397566038,3.455012864,5.9019880898207395,34.03550238933602,0.17340681569225042,5.766786017077472,30,0.30342306377850486,0.24663643552714937,0.8669395446777344,5.881641781628064,50
qwen3b,sequence,nf4,NVIDIA T4,58.70586995151825,61.51516409457795,2.246301184,17.050735996311666,51.99895419567608,0.327905363868443,3.049660390432662,30,0.30420692850569586,0.25296408267544,0.8676060438156128,5.773459596987606,50
